Sentences,Figure_OF_Speech
"I'm trying to date a philosophy professor, but she doesn't even know if I exist or not.",Pun
Can a kangaroo jump higher than the Empire State Building? Of course. The Empire State Building can't jump.,Pun
"I remember being in so much debt that I couldn't afford my electricity bills, it was a dark time.",Pun
"My best mates and I played a game of hiding and seek. It went on for hours... Well, good friends are hard to find.",Pun
"When I was young, I always felt like a male trapped in a females body. Then I was born",Pun
Why did the cross-eyed teacher lose her job? Because she couldn't control her pupils.,Pun
"I own a pencil that used to be owned by William Shakespeare, but he chewed it a lot. Now I can't tell if it's 2B or not 2B.",Pun
Three conspiracy theorists walk into a bar. You can't tell me that's just a coincidence!,Pun
I used to wonder why Frisbees looked bigger the closer it came... Then it hit me!,Pun
My IQ test results just came in and I'm really relieved. Thank God it's negative.,Pun
You can't get on the same page with someone who has a different book.,Pun
"Nobody ever asks how Coca-Cola is doing. It's always, ""Is Pepsi okay?""",Pun
I finally realized my parents favored my twin brother. It hit me when they asked me to blow up balloons for his surprise birthday party.,Pun
Did you hear about the 2 silk worms in a race? It ended in a tie!,Pun
Did you hear about the math teacher who's afraid of negative numbers? He will stop at nothing to avoid them.,Pun
Did you hear about the monkeys who shared an Amazon account? They were prime mates.,Pun
How does Moses make his tea? Hebrews it.,Pun
Finally got around to watching Back To The Future... It's about time.,Pun
Zebras are just horses that escaped from prison.,Pun
"Today, my son asked ""Can I have a book mark?"" and I burst into tears. 11 years old and he still doesn't know my name is Brian.",Pun
"No matter how much you push the envelope, it'll still be stationery.",Pun
"The nurse at the sperm bank asked me if I'd like to masturbate in the cup. I said, ""Well, I'm pretty good, but I don't think I'm ready to compete just yet.""",Pun
"For Sale: Parachute. Only used once, never opened.",Pun
Fishermen are reel men.,Pun
What underwear does clouds wear? Thunderwear!,Pun
"3 men are stranded in a boat with 4 cigarettes and no way to light them. So they toss the 4th cigarette overboard, which makes the whole boat a cigarette lighter.",Pun
Grandma's been staring through the window ever since it started to snow. If it gets any worse I'll have to let her in.,Pun
Why doesn't the bike stand by itself? Because it's two tired.,Pun
What is the best Christmas present ever? A broken drum - you can't beat it!,Pun
Why was the horse so happy? Because he lived in a stable environment.,Pun
"If anything is possible, is it possible for something to be impossible?",Pun
What do ghosts serve for dessert? I Scream.,Pun
I ran out of poker chips so used dry fruits for playing instead. People went nuts when they saw me raisin the stakes.,Pun
When is a door not a door? When it's ajar.,Pun
"A garage sale is actually a Garbage sale but the ""b"" is silent.",Pun
I have won first place in this Halloween costume contest 16 years in a row. This year I am dressed as a hotdog. I'm on a roll.,Pun
My new girlfriend works at the Zoo. I think she is a keeper.,Pun
"I know I know, smoking's bad for me and all. But, my mama told me never to be a quitter.",Pun
"I put the ""fun"" in dysfunctional. ",Pun
"A guy goes to a club; the bouncer stops him. ""No tie, no entry."" He walks back to his car to find a tie. All he found were jumper cables so he puts them around his neck like a tie. He goes back and says ""How's this?"" The bouncer says ""I'll let you in, but don't start anything.""",Pun
I'm taking part in a stair climbing competition. Guess I better step up my game.,Pun
Why did Martin Luther King Jr. boycott laundry detergent? Because it told him to keep his whites and colors separate.,Pun
I used to work at a fire hydrant factory couldn't park nowhere near the place.,Pun
What musical instrument is found in the bathroom? A tuba toothpaste.,Pun
"Did you know that if you hold your ear up to a strangers leg you can actually hear them say ""what the fuck are you doing?",Pun
Your gene pool could use a little chlorine.,Pun
"Isn't it scary that doctors call what they do ""practice""?",Pun
How does a snowman get around? He rides an icicle!,Pun
Did you hear about the depressed plumber? He's been going through some shit.,Pun
"I wear two pairs of pants when I go golfing. People always ask me why I do. I say, ""I wear two pants when's I golf just in case I get a hole-in-one.",Pun
Hung a picture up on the wall the other day. Nailed it.,Pun
What do you get when you cross a snoman and a vampire? Frost bite.,Pun
What do you call a Russian procrastinator? Putinoff.,Pun
"My dog used to chase people on a bike a lot. It got so bad, finally I had to take his bike away.",Pun
I was going to share a vegetable joke but it's corny.,Pun
"What is the longest website domain name? smiles.com because there is a ""mile"" between the s's!",Pun
"My landlord says he needs to come talk to me about how high my heating bill is. I told him, ""My door is always open"".",Pun
Q: What happens to the man who lost his whole left side of his body? A: He is all right now.,Pun
"Golfer: ""I'd move heaven and earth to break 100 on this course."" ",Pun
"Caddy: ""Try heaven; you've already moved most of the earth.""",Pun
"On the other hand, you have different fingers.",Pun
Why don't cannibals eat clowns? They taste funny.,Pun
What does a mathematician say when something goes wrong? Figures!,Pun
How does a cup steal from you? He mugs you.,Pun
"The recipe said ""Set the oven to 180 degrees"" so I did, but now I can't open it because the door faces the wall.",Pun
What if there were no hypothetical questions?,Pun
What's the difference between a Harley and a vacuum cleaner? The position of the dirtbag.,Pun
"I tried to catch some fog, I mist.",Pun
Why did the picture end up in jail? It was framed!,Pun
Why was the tree excited about the future? It was ready to turn over a new leaf!,Pun
Maybe it's not global warming. Maybe it's just planetary menopause.,Pun
My tennis opponent was not happy with my serve. He kept returning it.,Pun
Warning: Dates in calendar are closer than they appear.,Pun
Teachers who take class attendance are absent-minded.,Pun
My girlfriend asked me to pass her the Chapstick and I accidentally passed her the Glue Stick! She still hasn't talked to me!,Pun
"I sat next to a man on the park bench. He had 9 watches on one wrist and 5 in the other. I said man ""you sure do have a lot of time on your hands.""",Pun
"Where does the Easter Bunny go to eat pancakes? To IHOP, of course!",Pun
What do you call a fake noodle? An Impasta!,Pun
My cross-eyed wife and I just got a divorce. We didn't see eye to eye. I also found out she was seeing someone on the side.,Pun
"What does ""reading comprehension"" even mean?",Pun
Why do Swedish warships have barcodes on them? So when they dock they can Scandinavian.,Pun
"I cooked Pancakes this morning. I was thrilled but my kids weren't. Apparently, he was their favorite rabbit.",Pun
STRESSED is just DESSERTS spelled backward.,Pun
What do people wear in a trench? Trench coats.,Pun
What concert costs 45 cents? 50 Cent feat. Nickelback.,Pun
Where do sick boats go to get healthy? To the dock!,Pun
What do you get when you cross a joke with a rhetorical question?,Pun
How do you make a fire with two sticks? Make sure one of them is a match!,Pun
Which day do chickens hate the most? Friday.,Pun
"Doctor: ""Sir, I'm afraid your DNA is backwards."" Me: ""And?""",Pun
"In democracy, it's your vote that counts. In feudalism, it's your count that votes.",Pun
"If the right side of the brain controls the left side of the body, then lefties are the only ones in their right mind.",Pun
"I screamed at my neighbor, ""What on earth are you doing on our roof!"" ",Pun
"He screamed back, ""I saw you at the bar, and you said the drinks were on the house!""",Pun
A plateau is the highest form of flattery.,Pun
"Teacher: ""Where was the Constitution of India signed?"" ",Pun
"Student: ""At the bottom of the page!""",Pun
Did you hear about the vegan transgender? He was a herbefore.,Pun
Is it good or bad if your vacuum sucks?,Pun
Why are fish never good tennis players? They don't like getting close to the net.,Pun
People often ask me if my French jokes are immature... wee.,Pun
Television is a medium because anything well done is rare.,Pun
"They say ""don't try this at home"" so I'm coming over to your house to try it...",Pun
"The artist thought his favourite paint had been stolen, but it was just a pigment of his imagination.",Pun
My Sister was crying so I asked her if she was having a cry-sis.,Pun
What did the vegan say? I made a big missed steak.,Pun
I'm very pleased with my new fridge magnet. So far I've got twelve fridges.,Pun
Whats long and hard and has cum in it? A cucumber.,Pun
I recently heard about a mannequin that lost all of his friends because he was so clothes minded!,Pun
What do you and your shower have in common? You both get wet when I turn you on.,Pun
What did the tree say to autumn? Leaf me alone.,Pun
The kid drowned. All his mates showed up at his funeral with life jackets on. Because it's what he would've wanted.,Pun
"Me: ""You said dress for the job you want."" Boss: ""Give me my clothes back.""",Pun
Did you hear about the pessimist who hates German sausage? He always fears the Wurst.,Pun
An opinion without 3.14159 is just an onion.,Pun
"If the koreans cannot do it, they will tell you that they won do it.",Pun
"If 2 guys are having sex and the house catches on fire. Who gets out first, the guy on top or the guy on the bottom? The guy on the bottom cause he's already got his shit packed.",Pun
"I used to be a boy trapped in a woman's body. But after 9 long months, I was finally born!",Pun
I can cut down a tree only using my vision. It's true! I saw it with my own eyes!,Pun
The person who invented the door knock won the No-bell prize.,Pun
"Wife: ""You're addicted to skin lotion!"" ",Pun
"Husband: ""Go ahead. Rub it in my face.""",Pun
Do you know why I make puns? Because it's my respunsibility.,Pun
"I used to build stairs for a living, it's an up and down business.",Pun
"Scientist: ""My findings are meaningless if taken out of context.""",Pun
"Media: Scientist claims ""Findings are meaningless.""",Pun
